# start     end     duration
1186732135 1186733722 1587
1186735200 1186739296 4096
1186743392 1186747488 4096
1186747488 1186751584 4096
1186751584 1186755680 4096
1186755680 1186759776 4096
1186759776 1186763872 4096
1186763872 1186767947 4075
1186772033 1186776129 4096
1186776129 1186780225 4096
1186780225 1186784321 4096
1186784321 1186788417 4096
1186788417 1186792513 4096
1186792513 1186796609 4096
1186796609 1186800705 4096
1186800705 1186804801 4096
1186804801 1186808897 4096
1186808897 1186812993 4096
1186812993 1186817089 4096
1186817089 1186818068 979
1186823203 1186827299 4096
1186827299 1186831395 4096
1186831395 1186835491 4096
1186835491 1186839587 4096
1186839587 1186840847 1260
1186876228 1186876541 313
1186878951 1186883047 4096
1186883047 1186887143 4096
1186887143 1186891239 4096
1186891239 1186893398 2159
1186896637 1186900733 4096
1186900733 1186904829 4096
1186904829 1186908925 4096
1186908925 1186913021 4096
1186913021 1186917117 4096
1186917117 1186921213 4096
1186921213 1186925309 4096
1186925309 1186929405 4096
1186929405 1186933501 4096
1186933501 1186937597 4096
1186937597 1186939867 2270
1186953082 1186957178 4096
1186957178 1186961274 4096
1186961274 1186965370 4096
1186965370 1186969466 4096
1186969466 1186973562 4096
1186973562 1186977658 4096
1186977658 1186981754 4096
1186981754 1186985850 4096
1186985850 1186989946 4096
1186989946 1186994042 4096
1186994042 1186998138 4096
1186998138 1187001383 3245
1187004229 1187008325 4096
1187012421 1187016517 4096
1187016517 1187018570 2053
1187020362 1187020428 66
1187020514 1187020665 151
1187021292 1187021342 50
1187021434 1187021509 75
1187021617 1187021749 132
1187023759 1187027855 4096
1187027855 1187031951 4096
1187031951 1187036047 4096
1187036047 1187039543 3496
1187041639 1187045735 4096
1187045735 1187048799 3064
1187050446 1187052165 1719
1187053501 1187057597 4096
1187061693 1187061744 51
1187083263 1187087359 4096
1187087359 1187091455 4096
1187091455 1187095551 4096
1187095551 1187099647 4096
1187099647 1187103743 4096
1187103743 1187107839 4096
1187107839 1187111935 4096
1187111935 1187116031 4096
1187116031 1187120127 4096
1187120127 1187124168 4041
1187127296 1187131392 4096
1187131392 1187135488 4096
1187135488 1187139584 4096
1187139584 1187141919 2335
1187143810 1187144700 890
